"","top","x","y","ss"
"87",430.296193152538,204.984620091112,224.659261286112,1416.99668051844
"88",435.296618420653,204.94478259228,224.651550529313,1417.19965807049
"89",440.297108581482,204.90443119373,224.639409168126,1416.95459569859
"90",445.297727201353,204.903338439753,224.616286002928,1417.32326429394
"91",450.298209053506,204.914807187958,224.69125168362,1417.37469217044
"92",455.298605540678,204.924104696157,224.757009803604,1417.50198194091
"93",460.298990842415,204.948329666561,224.802016570283,1416.55015298715
"94",465.299462585008,204.967764119143,224.81930214507,1416.8163264292
"95",470.300011921247,205.032107929881,224.877444105139,1416.83025967607
"96",475.300638191302,205.09808015435,224.938434510923,1416.93186760565
"97",480.301349025597,205.131284077139,224.956615636956,1416.66909554045
"98",485.30224871776,205.204464866424,224.986484843318,1416.05395723836
"99",490.303244165152,205.247897368845,225.006033057343,1416.23210317852
