pingType	sbi
rbi_min	NA
rbi_max	NA
sbi_mean	5
sbi_sd	1e-04
dist	NA
rep	1
"V1","V2","V3","V4","V5","ss"
150.767760416667,NA,NA,150.64171875,150.51953125,1425.53775870572
155.7671875,155.624947916667,155.3421875,NA,NA,1424.93240839387
NA,NA,NA,NA,NA,1425.01149794683
165.766510416667,165.624010416667,165.341354166667,165.64046875,165.518385416667,1424.3291100676
170.765885416667,170.623333333333,170.340520833333,170.639895833333,NA,1424.54662705255
175.764947916667,175.622552083333,175.339739583333,175.63859375,175.51734375,1425.12952435157
180.764635416667,180.622239583333,180.339166666667,180.6384375,NA,1424.17734272433
185.763802083333,185.621614583333,NA,185.63765625,185.515885416667,1424.15986253292
190.763333333333,190.620729166667,190.337552083333,190.636927083333,190.515208333333,1424.48361459263
195.762604166667,NA,195.337083333333,195.636197916667,195.514583333333,1424.08683972952
NA,NA,NA,200.6353125,200.51375,1424.64566399375
205.761302083333,NA,205.33578125,205.634739583333,NA,1424.75623627717
210.760520833333,210.618385416667,210.335,210.63421875,210.512760416667,1424.97591662796
215.7603125,NA,NA,215.633802083333,215.512552083333,1424.83400863468
220.75953125,220.61734375,220.333645833333,220.6334375,NA,1424.93875640821
NA,NA,NA,NA,225.511458333333,1423.93432591439
NA,230.616822916667,230.33296875,NA,230.511510416667,1422.94639455307
235.759270833333,235.616614583333,235.332864583333,NA,NA,1423.28306177543
240.75890625,240.616510416667,240.33234375,240.632395833333,NA,1422.08354871399
245.75921875,245.61640625,245.3321875,NA,245.510625,1421.42714815339
NA,250.616197916667,NA,250.632291666667,250.510572916667,1421.07722138528
NA,NA,255.331510416667,255.63171875,255.510052083333,1421.17366560359
260.75859375,NA,NA,NA,260.509895833333,1420.74071821368
265.757916666667,NA,265.330833333333,265.630989583333,NA,1420.63966275674
270.757395833333,270.614635416667,NA,270.630364583333,270.508854166667,1421.4992551119
NA,NA,275.329947916667,275.630208333333,275.5084375,1421.30206080825
